 INFO  Accepting connections at http://localhost:4173
 HTTP  29/05/2026 09:05:02 ::1 GET /feed/
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 11 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/media/70bc3e132a0a741e-s.p.1409xf.ylxg8g.woff2
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/0iouztfsb.4co.css
 HTTP  29/05/2026 09:05:02 ::1 GET /logo.png
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/045g~0~zva_mv.js
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/0dgq26a5_oy.a.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 37 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 33 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 34 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 33 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 33 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 30 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/0njj.aq0r8e06.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/10u3y4bw1ayzs.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/turbopack-07f-ebtj4v-88.js
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/01xlw8hd842-c.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/0d3shmwh5_nmn.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/09ojschgd~.mb.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /_next/static/chunks/0zrck4e2~d~8e.js
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /logo.png
 HTTP  29/05/2026 09:05:02 ::1 Returned 304 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /favicon.ico?favicon.0x3dzn~oxb6tn.ico
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 HEAD /explore/
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 HEAD /settings/
 HTTP  29/05/2026 09:05:02 ::1 HEAD /messages/
 HTTP  29/05/2026 09:05:02 ::1 HEAD /notifications/
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /explore/__next._tree.txt?_rsc=HtJZfaS72l2LYOU4
 HTTP  29/05/2026 09:05:02 ::1 GET /settings/__next._tree.txt?_rsc=HtJZfaS72l2LYOU4
 HTTP  29/05/2026 09:05:02 ::1 GET /messages/__next._tree.txt?_rsc=HtJZfaS72l2LYOU4
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /notifications/__next._tree.txt?_rsc=HtJZfaS72l2LYOU4
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:05:02 ::1 HEAD /
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /explore/__next._head.txt?_rsc=lRvsO34-ir1JPxWG
 HTTP  29/05/2026 09:05:02 ::1 GET /explore/__next._index.txt?_rsc=lpRBeKi2p8LVG_Tl
 HTTP  29/05/2026 09:05:02 ::1 Returned 200 in 2 ms
 HTTP  29/05/2026 09:05:02 ::1 GET /explore/__next.explore.txt?_rsc=wpesesTW3acplNsA
